Date,Location,Level,Type,Title/Description ,Comments,Travel restrictions,State of Emergency,School Closure ,Work Closure,Business closing,Gatherings,COVID/Antibody Testing,Safer at Home,Reopening,Relief/Funding/Grant,Masks,Other,Economics
4/3/2020,Missouri,State,Issued,Statewide stay at home order.,,,,,,,,,,,,,,
4/4/2020,Missouri,State,Announcement,"The Missouri Department of Health and Senior Services, the Missouri State Emergency Management Agency, and the Missouri Department of Economic Development’s Missouri One Start Division partnered to recruit medical professionals. ",Recruited medical professionals not currently part of the workforce to join a specialized state team that responds to critical health emergencies.,,,,,,,,,,,,,
4/4/2020,Missouri,State,Announcement,"The Missouri Department of Health & Senior Services, the Missouri Department of Agriculture, and President of Sysco Foods announcedupdates to the state’s food supply chain.",,,,,,,,,,,,,,
4/6/2020,Missouri,State,Signed,Executive Order 20-08. ,Suspending a statutory requirement that a notary public must conduct the notarization in person.,,,,,,,,,,,,,
4/7/2020,Missouri,State,Announcement,The state has received its first operational guidance related to the Federal Pandemic Unemployment Compensation (FPUC) program under the CARES Act. ,Funds will provide a $600 federal supplement to those that are unemployed.,,,,,,,,,,,,,
4/8/2020,Missouri,State,Announcement,Missouri is moving forward with its first alternate care site to assist hospitals in the St. Louis region treating an increased number of patients.,,,,,,,,,,,,,,
4/9/2020,Missouri,State,Signed,All public and charter school buildings will remain closed through the remainder of the academic year.,,,,,,,,,,,,,,
4/10/2020,Missouri,State,Announcement,Supplemental budget passed by the Missouri General Assembly. ,Provides access to federal funding under the CARES Act. This funding will be used to buy more personal protective equipment and provide alternate medical locations as well as staffing. A working group was also established to help make recommendations on the best use of the funding.,,,,,,,,,,,,,
4/13/2020,Missouri,State,Announcement,The Governor highlighted efforts of hospitals across the state in responding to this public health emergency. ,"Along the lines of treatment and testing, and announced that DHSS is encouraging individuals who are fully recovered to donate plasma to help current COVID-19 patients.",,,,,,,,,,,,,
4/14/2020,Missouri,State,Announcement,Missouri is the first state in the nation to receive a federal grant for rural transit. ,Totaling $61.7 million dollars that will be used for operating expenses and capital assistance.,,,,,,,,,,,,,
4/15/2020,Missouri,State,Announcement,Missouri will receive a $152.4 million grant for 75 state airports. ,"To help respond to this public health emergency, with funds available for operating costs (salaries, utilities, etc.), and airport development.",,,,,,,,,,,,,
4/16/2020,Missouri,State,Announcement,Extending the state’s stay at home order until May 3.,,,,,,,,,,,,,,
4/16/2020,Missouri,State,Announcement,The state’s initial framework to help Missouri safely and gradually move into the recovery phase.,,,,,,,,,,,,,,
4/17/2020,Missouri,State,Announcement,16 broadband development projects will receive a total of $3.05 million through the state of Missouri’s broadband grant program.,"Additionally, the Department of Economic Development has also created a web page that lists broadband discounts, waivers and free resources available to Missourians during the pandemic",,,,,,,,,,,,,
4/17/2020,Missouri,State,Announcement,The “Show Me Strong” Recovery Plan to safely and gradually reopen the state’s economy.,,,,,,,,,,,,,,
4/20/2020,Missouri,State,Announcement,Over $47 million in additional expenditure restrictions to ensure a balanced budget.,"Restrictions include reduced funding for nine state agencies, the Office of the Attorney General, and the General Assembly.",,,,,,,,,,,,,
4/22/2020,Missouri,State,Announcement,The launch of a new tool developed by Google to help health care providers connect with Missouri manufacturers and suppliers of personal protective equipment.,,,,,,,,,,,,,,
4/24/2020,Missouri,State,Signed,The deployment of Battelle Critical Care Decontamination System. ,To assist with N95 mask shortages.,,,,,,,,,,,,,
4/27/2020,Missouri,State,Announcement,Executive Order 20-09,Extending the state of emergency. ,,,,,,,,,,,,,
4/27/2020,Missouri,State,Issued,The first phase of the “Show Me Strong Recovery” Plan. ,"To reopen economic and social activity starting May 4, 2020.",,,,,,,,,,,,,
4/28/2020,Missouri,State,Announcement,The Department of Health and Senior Services issued the Economic Reopening Health Order. ,Provides further guidance on reopening plans.,,,,,,,,,,,,,
4/29/2020,Missouri,State,Announcement,The Governor highlighted data supporting the state’s “Show Me Strong Recovery” Plan. ,"Additionally, how this data helps to inform the state’s reopening as they monitor pillars of the plan and inform its decisions.",,,,,,,,,,,,,
4/30/2020,Missouri,State,Announcement,The state’s COVID-19 testing capacity. ,Stating that capacity has increased as part of the Governor’s Show Me Strong Recovery plan.,,,,,,,,,,,,,
5/1/2020,Missouri,State,Announcement,Housing assistance and resources available to residents through the CARES Act. ,Including community development block grants and emergency solutions grant program.,,,,,,,,,,,,,
5/4/2020,Missouri,State,Signed,The four pillars of the state’s “Show Me Strong Recovery Plan”. ,Emphasized that Missouri is prepared to safely reopen on May 4.,,,,,,,,,,,,,
5/4/2020,Missouri,State,Announcement,Executive Order 20-10,"Extending four previous Executive Orders (on regulatory burdens, food service, national guard efforts, and notary services) and announced that the state will be dispersing CARES Act funding to local governments.",,,,,,,,,,,,,
5/5/2020,Missouri,State,Announcement,The importance of safely re-engaging in the economy and supporting Missouri businesses.,,,,,,,,,,,,,,
5/6/2020,Missouri,State,Announcement,Missouri will receive $66 million for child care assistance. ,,,,,,,,,,,,,,
5/6/2020,Missouri,State,Announcement,$1.5 million for food banks from the federal CARES Act funding.,,,,,,,,,,,,,,
5/7/2020,Missouri,State,Announcement,"The Governor, joined by the head of the Pfizer Biotherapeutics and Pharmaceutical Sciences Department. ",Highlighted work being done to manufacture a vaccine.,,,,,,,,,,,,,
5/12/2020,Missouri,State,Announcement,The economic recovery portion of the “Show Me Strong” Recovery Plan. ,"Including funding allotments from the paycheck protection program, and opportunities being explored to assist businesses with training and workforce needs.",,,,,,,,,,,,,
5/13/2020,Missouri,State,Announcement,A series of testing priorities designed to detect and rapidly contain potential outbreaks. ,As the state gradually reopens its economy.,,,,,,,,,,,,,
5/14/2020,Missouri,State,Announcement,The Centers for Medicare and Medicaid Services (CMS) approved Missouri’s second request for a Medicaid 1135 waiver.,The waiver allows Missouri to waive consent requirements for Home and Community-Based Services(HCBS) and reimburse for HCBS in additional settings.,,,,,,,,,,,,,
5/19/2020,Missouri,State,Announcement,The Governor emphasized the importance of testing to economic recovery in the state.,"The state’s goal within the next week is to increase testing to 7,500 tests per day. ",,,,,,,,,,,,,
5/20/2020,Missouri,State,Announcement,The launch of a new COVID-19 dashboard. ,Containing Missouri-specific data from across the state.,,,,,,,,,,,,,
5/21/2020,Missouri,State,Announcement,"A plan to rapidly increase testing volume to 7,500 tests per day.","The plan focuses on three main testing strategies – box-in outbreaks, sentinel testing, and community sampling. ",,,,,,,,,,,,,
5/28/2020,Missouri,State,Announcement,"Phase 1 of the state’s “Show Me Strong Recovery” Plan has been extended from Sunday, May 31, 2020, through Monday, June 15.",Extending Phase 1 of the plan through June 15 aligns with Governor Parson’s other Executive Orders as well as the state of emergency in Missouri.,,,,,,,,,,,,,
6/1/2020,Missouri,State,Announcement,Over $209 million in additional expenditure restrictions due to the pandemic. ,"Includes reduced funding for the Office of Administration, the Department of Corrections, the Department of Health and Senior Services, the Department of Social Services, the Department of Higher Education and Workforce Development, and the Department of Elementary and Secondary Education. 
",,,,,,,,,,,,,
6/4/2020,Missouri,State,Signed,SB 631,Includes a provision giving voters who have contracted or are at-risk of contracting COVID-19 the option to cast an absentee ballot without notarization.,,,,,,,,,,,,,
3/3/2020,Montana,State,Authorization,The Governors’ Coronavirus Task Force,To coordinate efforts across state government responding to COVID-19.,,,,,,,,,,,,,
3/12/2020,Montana,State,Announcement,State of emergency,Gives Governor Bullock the authority to use $16 million dollars in state funds and additional personnel from the National Guard to respond to COVID-19.,,,,,,,,,,,,,
3/15/2020,Montana,State,Issued,Guidance of school closures.,"Closing all public elementary and secondary education schools,",,,,,,,,,,,,,
3/15/2020,Montana,State,Issued,Guidance of limitations of mass gatherings.,Limiting mass gatherings of more than 50 people,,,,,,,,,,,,,
3/15/2020,Montana,State,Issued,Guidance visitation limitations.,suspending visitors from all nursing homes,,,,,,,,,,,,,
3/16/2020,Montana,State,Authorization,Eight Montana Army National Guard soldiers,To assist in the arrival and transport of Montana residents returning from quarantine.,,,,,,,,,,,,,
3/17/2020,Montana,State,Announcement,Eligibility for health care coverage,Uninsured residents who receive a recommendation from their provider will be eligible to receive coverage for COVID-19 testing and treatment.,,,,,,,,,,,,,
3/17/2020,Montana,State,Announcement,Emergency rules,"To make unemployment benefits accessible to workers who have been laid off due to COVID-19, while also waiving the waiting period for receiving benefits.",,,,,,,,,,,,,
3/18/2020,Montana,State,Announcement,Expand access to telemedicine services,To ensure Montana Medicaid patients receive quality health care in their homes to prevent unnecessary gatherings at health care facilities.,,,,,,,,,,,,,
3/19/2020,Montana,State,Issued,A quarantine advisory,Of 14 days to all residents who have traveled internationally.,,,,,,,,,,,,,
3/20/2020,Montana,State,Announcement,Business closures. ,"Measures to close dine-in food services, alcoholic beverage businesses, health clubs, and other facilities across the state.
",,,,,,,,,,,,,
3/20/2020,Montana,State,Announcement,Extended the payment and filing deadlines for 2019 individual income taxpayers. ,To July 15 in accordance with the new federal filing deadline.,,,,,,,,,,,,,
3/24/2020,Montana,State,Announcement,New measures that give local governments the flexibility they need to adhere to social distancing guidelines. ,Such as suspending certain office hour requirements in state law to allow for limited closures where local governments cannot safely operate within social distancing guidelines.,,,,,,,,,,,,,
3/24/2020,Montana,State,Issued,Directive to extend closures of public schools and dine-in food service and alcoholic beverage businesses,"Through April 10, as well as mandating social distancing measures.",,,,,,,,,,,,,
3/24/2020,Montana,State,Announcement,Waiver from the Centers for Medicare & Medicaid Services. ,"To allow Montana health care providers to adapt operations to respond to the emergency based on Montana’s specific and evolving need, such as making it easier to set up alternative testing or treatment sites, and expedited enrollment for new providers, and better information sharing and coordination to health trace and prevent the spread of COVID.",,,,,,,,,,,,,
3/26/2020,Montana,State,Issued,Directive requiring Montanans to stay home. ,,,,,,,,,,,,,,
3/26/2020,Montana,State,Issued,Directive temporarily closes all nonessential businesses and operations.,,,,,,,,,,,,,,
3/30/2020,Montana,State,Announcement,14-day quarantine for travelers arriving from another state or country to Montana. ,For non work related purposes.,,,,,,,,,,,,,
3/30/2020,Montana,State,Announcement,The Centers for Medicare & Medicaid Services (CMS) approved Montana’s request for a Section 1135 Medicaid waiver. ,"The approved waiver enables Montana to provide flexibilities in Medicaid provider screening and enrollment, forgo certain pre-admission screening and annual resident review assessments, lift prior authorization requirements, allow for reimbursement facility services in alternative settings, and extend fair hearing timelines.",,,,,,,,,,,,,
3/31/2020,Montana,State,Announcement,Protections to lessen the economic impacts of this public health emergency. ,"By stopping evictions, foreclosures and cancellation of utility services including water, heating and internet service.",,,,,,,,,,,,,
3/31/2020,Montana,State,Announcement,Directive that allows Montana hospitals and related facilities to receive financing. ,"Under the Montana Facility Finance Authority Act, to remain open and acquire the supplies needed to respond to this public health emergency.",,,,,,,,,,,,,
4/2/2020,Montana,State,Issued,Directive allowing residents to renew their driver’s licenses.,"Online and by mail. As well as, extended the deadline to complete title and registration paperwork.
",,,,,,,,,,,,,
4/2/2020,Montana,State,Announcement,CARES Act. ,"Through the flexibility and funding of the CARES Act, he will extend federal food assistance to more than 100,000 Montanans, increase food supplies at emergency food pantries and food banks, and streamline nutrition assistance for new mothers and children.",,,,,,,,,,,,,
4/3/2020,Montana,State,Announcement,Measure that will allow first responders to be notified in advance of potential exposure to COVID-19. ,"As well as, ensures they can take appropriate measures to safely perform their duties and avoid exposing other patients.
",,,,,,,,,,,,,
4/7/2020,Montana,State,Issued,A directive to waive the current requirement that local and county governments implement a 2 mill emergency levy. ,In order to access new funding coming to the state through the CARES Act. ,,,,,,,,,,,,,
4/7/2020,Montana,State,Announcement,"Extended, through April 24, directives he previously issued to protect residents.",,,,,,,,,,,,,,
4/7/2020,Montana,State,Announcement,The state successfully sold $33 million in bonds at a historically low interest rate. ,Allow the state to begin construction projects that will create jobs and stimulate the economy after this public health emergency.,,,,,,,,,,,,,
4/7/2020,Montana,State,Announcement,His essential business designation to include childcare workers. ,In order to ensure consistent care for children of other essential workers.,,,,,,,,,,,,,
4/13/2020,Montana,State,Issued,A directive to provide emergency rental assistance. ,To help families with limited financial resources make ends meet during this unprecedented economic situation. The program also includes relief funds specifically for households with children eligible for TANF.,,,,,,,,,,,,,
4/14/2020,Montana,State,Announcement,A report produced by state epidemiologists examining 377 cases of COVID-19 in Montana. ,"Helps the state understand who is impacted by the new virus, how it spreads, and patient outcomes.",,,,,,,,,,,,,
4/16/2020,Montana,State,Announcement,A Coronavirus Relief Task Force. ,"It will provide guidance and advice on how to best use $1.25 billion appropriated to Montana through the Federal CARES Act.

",,,,,,,,,,,,,
4/20/2020,Montana,State,Announcement,"5,000 nasal swabs arrived to the state’s DPHHS warehouse from FEMA.",,,,,,,,,,,,,,
4/21/2020,Montana,State,Announcement,"The Governor secured hundreds of thousands of face masks, shields and gloves from private market distributors. ",To fill the needs of front-line health care workers.,,,,,,,,,,,,,
4/22/2020,Montana,State,Announcement,"A gradual and phased reopening of the state beginning Sunday, April 26 for individuals. ","Extending to businesses on Monday, April 27.",,,,,,,,,,,,,
4/22/2020,Montana,State,Issued,Two directives to increase frontline health care provider capacity to respond to COVID-19. ,,,,,,,,,,,,,,
4/22/2020,Montana,State,Issued,Expand insurance coverage. ,To allow Montanans to access routine health care services while social distancing.,,,,,,,,,,,,,
4/27/2020,Montana,State,Announcement,The Governor sent a letter U.S. Department of Agriculture Secretary. ,To allow some local processing in order to avoid food waste and get local meat to Montana food banks for residents hardest hit by this public health emergency.,,,,,,,,,,,,,
4/30/2020,Montana,State,Announcement,The state received a Battelle Critical Care Decontamination System. ,To begin cleaning and disinfecting used N95 respirators.,,,,,,,,,,,,,
4/30/2020,Montana,State,Announcement,The Governor outlined a framework to ramp up testing capacity in Montana. ,"Over the next several months with a goal to eventually conduct 60,000 tests per month and prioritize testing for vulnerable populations.",,,,,,,,,,,,,
5/6/2020,Montana,State,Announcement,$10 million in federal CARES Act funding. ,Now available to Montana childcare providers.,,,,,,,,,,,,,
5/11/2020,Montana,State,Announcement,Additional Phase One guidelines. ,"It will allow gyms and fitness studios, movie theaters and museums the option to reopen beginning Friday, May 15.",,,,,,,,,,,,,
5/11/2020,Montana,State,Announcement,"The Governor secured 19,500 swabs and 9,000 viral transport medium. ",They have arrived from the federal government to support the effort to continue testing symptomatic residents.,,,,,,,,,,,,,
5/13/2020,Montana,State,Announcement,"The Montana Department of Public Health and Human Services is providing grants of up to $1,000 per individual. ",To purchase equipment to assist Montanans with disabilities access telework equipment.,,,,,,,,,,,,,
5/14/2020,Montana,State,Announcement,Directing $5 million in federal CARES Act funds. ,To expand assistance to thousands of Montanans struggling to afford their home energy needs due to financial strain caused by the pandemic.,,,,,,,,,,,,,
5/18/2020,Montana,State,Announcement,"Montana received a shipment of 500,000 N95 masks from FEMA to the state’s warehouse.",,,,,,,,,,,,,,
5/19/2020,Montana,State,Announcement,The state will move to Phase Two of the Reopening the Big Sky plan. ,,,,,,,,,,,,,,
5/19/2020,Montana,State,Announcement,The state will lift the 14-day out-of-state travel quarantine beginning June 1.,,,,,,,,,,,,,,
5/22/2020,Montana,State,Announcement,Montana’s unemployment rate was at 11.3% in April. ,Due to impacts created by the pandemic.,,,,,,,,,,,,,
6/17/2020,Montana,State,Announcement,The creation of the Montana Loan Deferment Program. ,Will allow businesses and other entities to defer payments on existing loans for six to twelve months and free up a significant amount of otherwise dedicated capital for the borrower to leverage on a monthly basis.,,,,,,,,,,,,,
6/17/2020,Montana,State,Announcement,"$108,550 in grants to six organizations to continue operating emergency food services. ",In response to the pandemic.,,,,,,,,,,,,,
6/18/2020,Montana,State,Announcement,"The Governor visited the Confederated Salish and Kootenai Tribes, whose community testing event marks the completion of the first round of COVID-19 community testing in Montana’s tribal communities.",,,,,,,,,,,,,,
6/26/2020,Montana,State,Announcement,Over $1 million in grant funding has been awarded from the Montana Agriculture Adaptability Program. ,Is designed to provide relief to small and medium-sized food and agriculture businesses.,,,,,,,,,,,,,
3/13/2020,Nebraska,State,Issued,Emergency Declaration,,,,,,,,,,,,,,
3/13/2020,Nebraska,State,Issued,Community Development Block Grant funds. ,The Nebraska Department of Economic Development (DED) allocated Community Development Block Grant funds to assist qualified businesses impacted by the COVID-19 outbreak.,,,,,,,,,,,,,
3/16/2020,Nebraska,State,Announcement,New Guidance on limitations of public gatherings.,,,,,,,,,,,,,,
3/16/2020,Nebraska,State,Announcement,Requires bars and restaurants to move to takeout only.,On a regional basis.,,,,,,,,,,,,,
3/17/2020,Nebraska,State,Issued,Executive Order.,"To allow for state and local government boards, commissions and other public bodies to meet by virtual and electronic means through May 31.",,,,,,,,,,,,,
3/17/2020,Nebraska,State,Issued,Executive Order.,To relax eligibility requirements for unemployment benefits.,,,,,,,,,,,,,
3/19/2020,Nebraska,State,Announcement,The state’s first Directed Health Measure.,Limits mass gatherings in certain counties,,,,,,,,,,,,,
3/19/2020,Nebraska,State,Announcement,The state’s first Directed Health Measure.,"Requires restaurants and bars in those counties to operate delivery, dine-in, or curbside services",,,,,,,,,,,,,
3/19/2020,Nebraska,State,Announcement,The state’s first Directed Health Measure.,Directed these counties to operate without students in their buildings.,,,,,,,,,,,,,
3/19/2020,Nebraska,State,Issued,Executive Order.,Waiving penalties or interest with IFTA late filings of quarterly returns,,,,,,,,,,,,,
3/19/2020,Nebraska,State,Issued,Executive Order.,Extending drivers licenses,,,,,,,,,,,,,
3/19/2020,Nebraska,State,Issued,Executive Order.,Vehicle registrations to limit the number of individuals at Department of Motor Vehicle facilities,,,,,,,,,,,,,
3/19/2020,Nebraska,State,Issued,Executive Order.,"Extending title requirements, registrations, or motor carrier temporary documents by 30 days",,,,,,,,,,,,,
3/19/2020,Nebraska,State,Issued,Executive Order.,Extending ignition interlock providers by two weeks for all existing customers,,,,,,,,,,,,,
3/19/2020,Nebraska,State,Issued,Executive Order.,To provide relief to restaurants and bars who are still serving customers (via non-dine in methods) and provided guidance to these locations that they are limited to serving 10 patrons at a time.,,,,,,,,,,,,,
3/20/2020,Nebraska,State,Announcement,The Governor is requesting $58.6 million of emergency funding from the state legislature. ,"For local response efforts, health and human services staffing, surge staffing for VA hospitals and care facilities, and lab testing.",,,,,,,,,,,,,
3/20/2020,Nebraska,State,Announcement,The Small Business Administration approved the state’s request for an Economic Injury Disaster loan.,,,,,,,,,,,,,,
3/23/2020,Nebraska,State,Announcement,"Residents have until July 15, 2020 to pay state income taxes.",,,,,,,,,,,,,,
3/25/2020,Nebraska,State,Announcement,Community Development Block Grant funds. ,The Nebraska Department of Economic Development (DED) allocated Community Development Block Grant funds to assist qualified businesses impacted by the COVID-19 outbreak. ,,,,,,,,,,,,,
3/25/2020,Nebraska,State,Signed,The Governor discussed ideas on the flexibility of continuing business operation. ,"In the areas of offering drive-up service to customers, delivery, and the modification of normal day-to-day interactions. ",,,,,,,,,,,,,
3/26/2020,Nebraska,State,Issued,LB 1198,Provides emergency funding to help the state during this public health emergency. He also signed an Executive Order preventing eviction of residents who have been impacted.,,,,,,,,,,,,,
3/27/2020,Nebraska,State,Issued,Executive order. ,"To expand access to childcare options, which eases the licensing requirements to open and operate a temporary, non-residential child care in an alternative setting. The Governor additionally announced that the May 12 primary election will continue as scheduled.",,,,,,,,,,,,,
3/27/2020,Nebraska,State,Issued,Executive order to expedite the entry of medical professionals into the workforce. ,Authorizes the credentialing of retired or inactive health professionals.,,,,,,,,,,,,,
3/27/2020,Nebraska,State,Issued,Executive order to expedite the entry of medical professionals into the workforce. ,Defers the requirements for healthcare providers to pay initial licensing fees or to complete continuing education.,,,,,,,,,,,,,
3/27/2020,Nebraska,State,Issued,Executive order to expedite the entry of medical professionals into the workforce. ,Temporarily waives the restrictions on licensed out-of-state medical professionals working in Nebraska.,,,,,,,,,,,,,
3/28/2020,Nebraska,State,Announcement,Executive order to expedite the entry of medical professionals into the workforce. ,Temporarily suspends the limitations on the number of physician assistants that a physician may supervise. ,,,,,,,,,,,,,
3/29/2020,Nebraska,State,Announcement,New Directed Health Measures for additional counties. ,"Includes limits on public gatherings, restaurant and bar closures, and school closures.",,,,,,,,,,,,,
3/30/2020,Nebraska,State,Announcement,New Directed Health Measures for additional counties. ,"Includes limits on public gatherings, restaurant and bar closures, and school closures.",,,,,,,,,,,,,
3/30/2020,Nebraska,State,Announcement,Extended statewide social distancing restrictions through April 30th. ,,,,,,,,,,,,,,
3/30/2020,Nebraska,State,Announcement,Department of Labor is preparing to roll out the unemployment programs outlined in the CARES Act. ,"Pandemic Unemployment Assistance – Allows unemployment benefits to individuals who have exhausted all other unemployment benefits, and those not eligible for other unemployment benefits, including workers who are self-employed and independent contractors. The minimum PUA weekly payment will be $174 and top out at $440.",,,,,,,,,,,,,
3/30/2020,Nebraska,State,Announcement,Department of Labor is preparing to roll out the unemployment programs outlined in the CARES Act. ,"Federal Pandemic Unemployment Compensation – This emergency increase in Unemployment Insurance Benefits adds $600 per week in federal benefits to the unemployment benefit amount for COVID-19 unemployment claims, including PUA claims.",,,,,,,,,,,,,
3/30/2020,Nebraska,State,Announcement,Department of Labor is preparing to roll out the unemployment programs outlined in the CARES Act. ,Pandemic Emergency Unemployment Compensation – Allows 13 weeks of federally funded benefits to be added to the end of the normal 26 weeks of benefits.,,,,,,,,,,,,,
3/30/2020,Nebraska,State,Announcement,Department of Labor is preparing to roll out the unemployment programs outlined in the CARES Act. ,"Short Time Compensation Programs (also known as Work Share) – Provides federal funding of Short-Time Compensation, a program that allows businesses to uniformly reduce their teammates’ hours while the workers receive a partial unemployment benefit.",,,,,,,,,,,,,
3/30/2020,Nebraska,State,Signed,"Designate every Tuesday as ""Takeout Tuesday"". ","In an effort to encourage residents to support local dining businesses, the Governor signed a proclamation to designate every Tuesday from March 31st through the end of April 2020 as “Takeout Tuesday”.",,,,,,,,,,,,,
3/31/2020,Nebraska,State,Signed,Executive order that enables healthcare facilities to expand capacity as the need arises. ,Waives time limits for how long Critical Access Hospitals and Ambulatory Surgical Centers may keep patients.,,,,,,,,,,,,,
3/31/2020,Nebraska,State,Signed,Executive order that enables healthcare facilities to expand capacity as the need arises. ,Waives the time limit on complex nursing interventions in assisted living facilities.,,,,,,,,,,,,,
3/31/2020,Nebraska,State,Signed,Executive order that enables healthcare facilities to expand capacity as the need arises. ,"Modifies the training and testing requirements for nurse aides, medication aides, and dining assistants to allow individuals with sufficient training and appropriate supervision to serve temporarily in these capacities.",,,,,,,,,,,,,
4/1/2020,Nebraska,State,Issued,Executive Order ,To allow online notary services to take place and to provide regulatory flexibility to banks.,,,,,,,,,,,,,
4/2/2020,Nebraska,State,Announcement,Agreement with the University of Nebraska System to provide bed space for the quarantining of individuals,"Individuals who need monitoring, for people in isolation who are waiting for testing results, and the discharging of patients who are convalescing.",,,,,,,,,,,,,
4/2/2020,Nebraska,State,Announcement,Nebraska Impact COVID-19 Relief Fund. ,"Aims to help individual communities meet their local needs, through financial assistance for rent, mortgage, and utilities payments; provisions for food pantries; or supplies for students from low-income families now studying from home.",,,,,,,,,,,,,
4/2/2020,Nebraska,State,Announcement,The Centers for Medicare & Medicaid Services (CMS) approved Nebraska’s request for a Section 1135 Medicaid waiver.,"The approved waiver enables Nebraska to provide flexibilities in Medicaid provider screening and enrollment, forgo certain pre-admission screening and annual resident review assessments, lift prior authorization requirements, allow for reimbursement facility services in alternative settings, extend fair hearing timelines, and waive public comment and tribal consultation requirements for certain changes to the Medicaid state plan.",,,,,,,,,,,,,
4/6/2020,Nebraska,State,Announcement,April 6-12 as Public Health Week in the state.,"During the same press briefing, the Governor discussed the potential for domestic violence amid this public health emergency and services available to those who need support.",,,,,,,,,,,,,
4/7/2020,Nebraska,State,Announcement,Temporary changes to the State’s Supplemental Nutrition Assistance Program. ,Such as extending eligibility periods and providing emergency allotments to families for the months of April and May.,,,,,,,,,,,,,
4/9/2020,Nebraska,State,Announcement,"The Governor proclaimed April 10-30, 2020 as “21 Days to Stay Home and Stay Healthy in Nebraska”. ",,,,,,,,,,,,,,
4/9/2020,Nebraska,State,Announcement,A new statewide Directed Health Measure. ,Orders certain businesses where six feet of social distance cannot be maintained to close through April 30th.,,,,,,,,,,,,,
4/14/2020,Nebraska,State,Issued,The Governor issued a statement thanking the President for approving Nebraska’s request for federal funding of the National Guard.,,,,,,,,,,,,,,
4/15/2020,Nebraska,State,Issued,Executive Order ,To expand childcare options for working Nebraska families and to provide relief for childcare centers participating in the State’s Child Care Subsidy Program.,,,,,,,,,,,,,
4/18/2020,Nebraska,State,Announcement,Nebraskans encouraged to stay connected to friends and family and take care of their mental health.,,,,,,,,,,,,,,
4/20/2020,Nebraska,State,Announcement,The state’s first step to relax the health measures implemented to slow COVID-19’s spread. ,Includes resuming elective surgeries as long as hospitals and healthcare facilities meet requirements for available bed capacity and have adequate supplies of personal protective equipment.,,,,,,,,,,,,,
4/22/2020,Nebraska,State,Announcement,Nebraskans encouraged to take an online assessment as part of the state’s Test Nebraska plan. ,To help increase the state’s the rate of testing.,,,,,,,,,,,,,
4/24/2020,Nebraska,State,Announcement,"The Governor is relaxing some restrictions related to places of worship, salons, restaurants, childcare facilities and other establishments.",,,,,,,,,,,,,,
4/27/2020,Nebraska,State,Announcement,The formation of a business task force to develop guidelines. ,Prioritize public safety and allow for the state to reopen its economy.,,,,,,,,,,,,,
4/29/2020,Nebraska,State,Announcement,The Governor discussed best practices to resume elective surgeries. ,At dental offices and dining in restaurants with industry leaders and practitioners across the state.,,,,,,,,,,,,,
4/29/2020,Nebraska,State,Announcement,The Governor announced new guidance for restaurants. ,,,,,,,,,,,,,,
4/30/2020,Nebraska,State,Issued,Executive Order,Retroactively extends eligibility for pandemic-related unemployment benefits.,,,,,,,,,,,,,
5/4/2020,Nebraska,State,Announcement,New testing facilities. ,,,,,,,,,,,,,,
5/4/2020,Nebraska,State,Announcement,A childcare referral resource created by the Nebraska Children and Families Foundation. ,In partnership with state agencies.,,,,,,,,,,,,,
5/4/2020,Nebraska,State,Announcement,A new shipment of PPE through the Department of Administrative Services Material Division. ,The Department of Administrative Services Material Division works with government procurement professionals throughout the state to source and supply necessary items.,,,,,,,,,,,,,
5/7/2020,Nebraska,State,Announcement,This week was announced as Teacher Appreciation Week.,,,,,,,,,,,,,,
5/8/2020,Nebraska,State,Announcement,The Governor highlighted four regional directed health measures. ,,,,,,,,,,,,,,
5/8/2020,Nebraska,State,Announcement,The Governor highlighted new mother friendly initiatives.,,,,,,,,,,,,,,
5/8/2020,Nebraska,State,Authorization,The Centers for Medicare and Medicaid Services (CMS) approved Nebraska’s second request for a Medicaid 1135 waiver.,The waiver allows Nebraska to lift prior authorization requirements.,,,,,,,,,,,,,
5/11/2020,Nebraska,State,Announcement,Less restrictive Directed Health Measures will take effect in three additional regions.,,,,,,,,,,,,,,
5/11/2020,Nebraska,State,Issued,The Governor issued guidance to resume baseball and softball in June and highlighted new business reopening guidelines.,,,,,,,,,,,,,,
5/13/2020,Nebraska,State,Announcement,A dedicated hotline has been set up to answer questions about the Test Nebraska initiative.,,,,,,,,,,,,,,
5/14/2020,Nebraska,State,Announcement,The Governor outlined the contact tracing process in the state.,,,,,,,,,,,,,,
5/15/2020,Nebraska,State,Announcement,The Governor previewed a new tool being developed by the Nebraska Department of Health and Human Services. ,To help long-term care facilities assess and improve their preparedness planning.,,,,,,,,,,,,,
5/19/2020,Nebraska,State,Announcement,The Governor discussed results from the Nebraska Business Response Survey. ,"Completed by 4,500 businesses across the state to understand the impacts of the pandemic on their companies.",,,,,,,,,,,,,
5/20/2020,Nebraska,State,Announcement,Test Nebraska sites will be in seven communities next week.,,,,,,,,,,,,,,
5/21/2020,Nebraska,State,Announcement,New directed health measures for Phase I and Phase II will take effect on June 1. ,For certain districts in the state.,,,,,,,,,,,,,
5/27/2020,Nebraska,State,Announcement,Executive Order. ,Waiving the requirement for older Nebraskans to renew their driver’s licenses in-person.,,,,,,,,,,,,,
5/27/2020,Nebraska,State,Announcement,To stabilize businesses and livestock producers. ,The Governor will be using CARES Act funding.,,,,,,,,,,,,,
